show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,duration_num,duration_unit,qtd_generos,idade_conteudo,decada_lancamento,mes_adicao,ano_adicao,indicador_filme_serie,faixa_duracao,categoria_idade,duration_minmax,idade_standardized
s3768,Movie,Rock My Heart,Hanno Olderdissen,Germany,2019-06-07,2019.0,TV-PG,110 min,"Children & Family Movies, Dramas, International Movies",110.0,min,3,7.0,2010.0s,6.0,2019.0,1,Médio,Novo,0.34627831715210355,-0.5427076797672862
s424,Movie,Chhota Bheem: Master of Shaolin,Rajiv Chilaka,India,2021-07-22,2011.0,TV-Y7,74 min,Children & Family Movies,74.0,min,1,15.0,2010.0s,7.0,2021.0,1,Médio,Antigo,0.22977346278317154,0.3644326392875139
s5978,Movie,Æon Flux,Karyn Kusama,United States,2018-02-01,2005.0,PG-13,93 min,"Action & Adventure, Sci-Fi & Fantasy",93.0,min,2,21.0,2000.0s,2.0,2018.0,1,Médio,Antigo,0.29126213592233013,1.044787878578614
s412,Movie,Chhota Bheem And The Crown of Valhalla,Rajiv Chilaka,India,2021-07-22,2013.0,TV-Y7,64 min,Children & Family Movies,64.0,min,1,13.0,2010.0s,7.0,2021.0,1,Médio,Antigo,0.19741100323624597,0.13764755952381386
s7354,TV Show,Love Your Garden,,United Kingdom,2019-07-26,2013.0,TV-G,1 Season,"British TV Shows, International TV Shows, Reality TV",1.0,Season,3,13.0,2010.0s,7.0,2019.0,0,Série (Temporadas),Antigo,,0.13764755952381386
s3660,TV Show,Pinky Malinky,,United States,2019-07-17,2019.0,TV-Y7,3 Seasons,"Kids' TV, TV Comedies",3.0,Seasons,2,7.0,2010.0s,7.0,2019.0,0,Série (Temporadas),Novo,,-0.5427076797672862
s7723,Movie,Pee-wee's Playhouse: Christmas Special,"Paul Reubens, Wayne Orr",United States,2014-12-18,1988.0,TV-PG,48 min,Movies,48.0,min,1,38.0,1980.0s,12.0,2014.0,1,Curto,Antigo,0.14563106796116507,2.972461056570064
s6825,TV Show,Game Winning Hit,,Taiwan,,2009.0,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",1.0,Season,3,17.0,2000.0s,,,0,Série (Temporadas),Antigo,,0.5912177190512139
s1562,Movie,Torbaaz,Girish Malik,India,2020-12-11,2020.0,TV-MA,133 min,"Dramas, International Movies, Sports Movies",133.0,min,3,6.0,2020.0s,12.0,2020.0,1,Longo,Novo,0.42071197411003236,-0.6561002196491362
s6900,Movie,Growing Up Coy,,United States,2017-01-06,2016.0,TV-PG,82 min,"Documentaries, LGBTQ Movies",82.0,min,2,10.0,2010.0s,1.0,2017.0,1,Médio,Intermediário,0.255663430420712,-0.2025300601217362
s520,TV Show,I AM A KILLER,,United Kingdom,2021-07-06,2020.0,TV-MA,2 Seasons,"British TV Shows, Crime TV Shows, Docuseries",2.0,Seasons,3,6.0,2020.0s,7.0,2021.0,0,Série (Temporadas),Novo,,-0.6561002196491362
s1105,Movie,An American Girl: McKenna Shoots for the Stars,Vince Marcello,United States,2021-04-02,2012.0,,94 min,"Children & Family Movies, Comedies, Dramas",94.0,min,3,14.0,2010.0s,4.0,2021.0,1,Médio,Antigo,0.29449838187702265,0.25104009940566385
s4345,Movie,Oddbods: The Festive Menace,,Pakistan,2018-12-01,2018.0,TV-Y,23 min,Movies,23.0,min,1,8.0,2010.0s,12.0,2018.0,1,Curto,Novo,0.06472491909385114,-0.42931513988543624
s7972,Movie,Secrets of Chatsworth,Susannah Ward,,2017-02-22,2013.0,TV-PG,54 min,"Documentaries, International Movies",54.0,min,2,13.0,2010.0s,2.0,2017.0,1,Curto,Antigo,0.1650485436893204,0.13764755952381386
s7499,Movie,Monster High: Haunted,"Dan Fraga, William Lau",United States,2018-03-24,2015.0,TV-Y7,76 min,Children & Family Movies,76.0,min,1,11.0,2010.0s,3.0,2018.0,1,Médio,Intermediário,0.23624595469255666,-0.08913752023988618
s5311,Movie,The Distinguished Citizen,"Gastón Duprat, Mariano Cohn",Argentina,,2016.0,TV-MA,113 min,"Comedies, Dramas, International Movies",113.0,min,3,10.0,2010.0s,,,1,Médio,Intermediário,0.3559870550161813,-0.2025300601217362
s3027,Movie,The Brave,,United States,,2019.0,,103 min,"Action & Adventure, Independent Movies",103.0,min,2,7.0,2010.0s,,,1,Médio,Novo,0.3236245954692557,-0.5427076797672862
s8314,Movie,The Free Man,Toa Fraser,New Zealand,2017-10-01,2016.0,TV-PG,84 min,"Documentaries, Sports Movies",84.0,min,2,10.0,2010.0s,10.0,2017.0,1,Médio,Intermediário,0.2621359223300971,-0.2025300601217362
s6545,Movie,Cult of Chucky,Don Mancini,United States,2017-10-03,2017.0,R,90 min,Horror Movies,90.0,min,1,9.0,2010.0s,10.0,2017.0,1,Médio,Intermediário,0.28155339805825247,-0.3159226000035862
s5818,Movie,Jim Gaffigan: Mr. Universe,Jay Karas,United States,2016-08-11,2012.0,TV-14,77 min,Stand-Up Comedy,77.0,min,1,14.0,2010.0s,8.0,2016.0,1,Médio,Antigo,0.2394822006472492,0.25104009940566385
s5106,TV Show,Wadi,,Pakistan,2017-12-29,2015.0,TV-14,1 Season,"International TV Shows, TV Dramas",1.0,Season,2,11.0,2010.0s,12.0,2017.0,0,Série (Temporadas),Intermediário,,-0.08913752023988618
s8234,Movie,The Bygone,"Graham Phillips, Parker Phillips",United States,2020-03-23,2019.0,TV-MA,106 min,"Independent Movies, Thrillers",106.0,min,2,7.0,2010.0s,3.0,2020.0,1,Médio,Novo,0.33333333333333337,-0.5427076797672862
s1207,TV Show,Zero Chill,,,2021-03-15,2021.0,TV-G,1 Season,"British TV Shows, Kids' TV, TV Dramas",1.0,Season,3,5.0,2020.0s,3.0,2021.0,0,Série (Temporadas),Novo,,-0.7694927595309863
s8226,Movie,The Breadwinner,Nora Twomey,Ireland,2018-02-20,2017.0,PG-13,93 min,"Children & Family Movies, Dramas, International Movies",93.0,min,3,9.0,2010.0s,2.0,2018.0,1,Médio,Intermediário,0.29126213592233013,-0.3159226000035862
s8551,Movie,The Walls of the Moon,,Egypt,,2015.0,TV-14,98 min,"Action & Adventure, Dramas, International Movies",98.0,min,3,11.0,2010.0s,,,1,Médio,Intermediário,0.3074433656957929,-0.08913752023988618
s7490,Movie,Monster High 13 Wishes,Steve Sacks,United States,2018-03-01,2013.0,TV-Y7,73 min,Children & Family Movies,73.0,min,1,13.0,2010.0s,3.0,2018.0,1,Médio,Antigo,0.226537216828479,0.13764755952381386
s2139,Movie,Christine,Antonio Campos,United Kingdom,,2016.0,R,119 min,"Dramas, Independent Movies",119.0,min,2,10.0,2010.0s,,,1,Médio,Intermediário,0.3754045307443366,-0.2025300601217362
s978,Movie,Dedemin Fisi,Meltem Bozoflu,Turkey,2021-04-23,2016.0,TV-14,101 min,"Comedies, International Movies",101.0,min,2,10.0,2010.0s,4.0,2021.0,1,Médio,Intermediário,0.31715210355987056,-0.2025300601217362
s6910,Movie,Hairspray,Adam Shankman,United States,,2007.0,PG,116 min,"Children & Family Movies, Comedies, Music & Musicals",116.0,min,3,19.0,2000.0s,,,1,Médio,Antigo,0.36569579288025894,0.8180027988149139
s2607,TV Show,Extracurricular,,South Korea,,2020.0,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",1.0,Season,3,6.0,2020.0s,,,0,Série (Temporadas),Novo,,-0.6561002196491362
s2185,TV Show,Get Even,,United Kingdom,2020-07-31,2020.0,TV-PG,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",1.0,Season,3,6.0,2020.0s,7.0,2020.0,0,Série (Temporadas),Novo,,-0.6561002196491362
s3124,Movie,Ronny Chieng: Asian Comedian Destroys America!,Sebastian DiNatale,United States,2019-12-17,2019.0,TV-MA,63 min,Stand-Up Comedy,63.0,min,1,7.0,2010.0s,12.0,2019.0,1,Médio,Novo,0.19417475728155342,-0.5427076797672862
s8302,Movie,The First Wives Club,Hugh WIlson,United States,,1996.0,PG,103 min,Comedies,103.0,min,1,30.0,1990.0s,,,1,Médio,Antigo,0.3236245954692557,2.0653207375152642
s5438,TV Show,Singles Villa,,China,2017-06-10,2015.0,TV Show,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",1.0,Season,3,11.0,2010.0s,6.0,2017.0,0,Série (Temporadas),Intermediário,,-0.08913752023988618
s8139,Movie,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,,2020-01-01,2007.0,R,116 min,"Dramas, Horror Movies, Music & Musicals",116.0,min,3,19.0,2000.0s,1.0,2020.0,1,Médio,Antigo,0.36569579288025894,0.8180027988149139
s1093,Movie,Dolly Parton: A MusiCares Tribute,,Pakistan,,2021.0,,55 min,"Documentaries, Music & Musicals",55.0,min,2,5.0,2020.0s,,,1,Curto,Novo,0.16828478964401294,-0.7694927595309863
s6034,Movie,A Family Affair,Tom Fassaert,Netherlands,2016-10-16,2015.0,TV-PG,111 min,"Documentaries, International Movies",111.0,min,2,11.0,2010.0s,10.0,2016.0,1,Médio,Intermediário,0.34951456310679613,-0.08913752023988618
s8445,Movie,The Only Mother To You All,Wenn V. Deramas,Philippines,2019-02-27,2008.0,,106 min,"Comedies, International Movies",106.0,min,2,18.0,2000.0s,2.0,2019.0,1,Médio,Antigo,0.33333333333333337,0.704610258933064
s2588,Movie,Mrs. Serial Killer,Shirish Kunder,Indid,2020-05-01,2020.0,TV-MA,107 min,"International Movies, Thrillers",107.0,min,2,6.0,2020.0s,5.0,2020.0,1,Médio,Novo,0.3365695792880259,-0.6561002196491362
s5165,Movie,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Chris Smith,Canada,2017-11-17,2017.0,TV-MA,94 min,Documentaries,94.0,min,1,9.0,2010.0s,11.0,2017.0,1,Médio,Intermediário,0.29449838187702265,-0.3159226000035862
s4334,Movie,Blind Detective,Johnnie To,Hong Kong,2018-12-01,2013.0,TV-MA,130 min,"Action & Adventure, Comedies, International Movies",130.0,min,3,13.0,2010.0s,12.0,2018.0,1,Longo,Antigo,0.4110032362459547,0.13764755952381386
s3997,TV Show,9-Feb,,Pakistan,,2018.0,TV-14,1 Season,"International TV Shows, TV Dramas",1.0,Season,2,8.0,2010.0s,,,0,Série (Temporadas),Novo,,-0.42931513988543624
s7150,Movie,Jumping the Broom,Salim Akil,United States,2020-11-01,2011.0,PG-13,113 min,"Comedies, Romantic Movies",113.0,min,2,15.0,2010.0s,11.0,2020.0,1,Médio,Antigo,0.3559870550161813,0.3644326392875139
s6881,Movie,GoodFellas,Martin Scorsese,,2021-01-01,1990.0,R,145 min,"Classic Movies, Dramas",145.0,min,2,36.0,1990.0s,1.0,2021.0,1,Longo,Antigo,0.4595469255663431,2.745675976806364
s1768,Movie,The Impossible,J.A. Bayona,Spain,2020-11-01,2012.0,PG-13,114 min,Dramas,114.0,min,1,14.0,2010.0s,11.0,2020.0,1,Médio,Antigo,0.3592233009708738,0.25104009940566385
s8659,Movie,Under The Skin,Jonathan Glazer,Switzerland,2018-07-15,2013.0,R,108 min,"Dramas, Independent Movies, International Movies",108.0,min,3,13.0,2010.0s,7.0,2018.0,1,Médio,Antigo,0.33980582524271846,0.13764755952381386
s7902,Movie,Rumor Has It,,United States,,2005.0,PG-13,97 min,"Comedies, Romantic Movies",97.0,min,2,21.0,2000.0s,,,1,Médio,Antigo,0.3042071197411003,1.044787878578614
s2552,TV Show,Dead to Me,,,2020-05-08,2020.0,TV-MA,2 Seasons,"TV Comedies, TV Dramas",2.0,Seasons,2,6.0,2020.0s,5.0,2020.0,0,Série (Temporadas),Novo,,-0.6561002196491362
s4322,TV Show,Pine Gap ,Mat King,Australia,2018-12-07,2018.0,TV Show,1 Season,"International TV Shows, TV Dramas",1.0,Season,2,8.0,2010.0s,12.0,2018.0,0,Série (Temporadas),Novo,,-0.42931513988543624
s1516,Movie,Guest House,Sam Macaroni,United States,2020-12-18,2020.0,R,84 min,Comedies,84.0,min,1,6.0,2020.0s,12.0,2020.0,1,Médio,Novo,0.2621359223300971,-0.6561002196491362
s6233,Movie,Barah Aana,Raja Menon,India,,2009.0,TV-14,95 min,"Dramas, International Movies",95.0,min,2,17.0,2000.0s,,,1,Médio,Antigo,0.2977346278317152,0.5912177190512139
s145,Movie,House Party,Reginald Hudlin,,,1990.0,R,104 min,"Comedies, Cult Movies",104.0,min,2,36.0,1990.0s,,,1,Médio,Antigo,0.3268608414239482,2.745675976806364
s1324,Movie,Layla Majnun,Monty Tiwa,Indonesia,2021-02-11,2020.0,TV-14,119 min,"Dramas, International Movies, Romantic Movies",119.0,min,3,6.0,2020.0s,2.0,2021.0,1,Médio,Novo,0.3754045307443366,-0.6561002196491362
s6255,Movie,Bawarchi,,India,2019-12-31,1972.0,TV-PG,125 min,"Classic Movies, Comedies, Dramas",125.0,min,3,54.0,1970.0s,12.0,2019.0,1,Longo,Antigo,0.39482200647249194,4.786741694679664
s4188,Movie,Adhugo,,India,2019-01-15,2018.0,TV-14,105 min,"Comedies, Independent Movies, International Movies",105.0,min,3,8.0,2010.0s,1.0,2019.0,1,Médio,Novo,0.3300970873786408,-0.42931513988543624
s6214,TV Show,Bad Education,,United Kingdom,2018-12-15,2014.0,TV Show,3 Seasons,"British TV Shows, TV Comedies",3.0,Seasons,2,12.0,2010.0s,12.0,2018.0,0,Série (Temporadas),Antigo,,0.024255019641963835
s6323,Movie,Black Hawk Down,Ridley Scott,United States,2019-01-01,2001.0,R,144 min,"Action & Adventure, Dramas",144.0,min,2,25.0,2000.0s,1.0,2019.0,1,Longo,Antigo,0.4563106796116505,1.498358038106014
